time,xte
72.5000,-0.006991
72.6000,0.005631
72.7000,0.002334
72.8000,0.001916
72.9000,0.005620
73.0000,0.008576
73.1000,0.008715
73.2000,0.003570
73.3000,0.000615
73.4000,0.005028
73.5000,0.009261
73.6000,-0.000699
73.7000,0.004328
73.8000,0.000658
73.9000,-0.002315
74.0000,-0.002177
74.1000,-0.005016
74.2000,-0.005290
74.3000,-0.012720
74.4000,-0.009086
74.5000,-0.008180
74.6000,-0.008168
74.7000,-0.015042
74.8000,0.004635
74.9000,-0.007674
75.0000,0.010543
75.1000,0.010550
75.2000,0.017998
75.3000,0.043316
75.4000,0.036123
75.5000,0.032653
75.6000,0.035653
75.7000,0.012089
75.8000,0.004472
75.9000,0.002163
76.0000,-0.010389
76.1000,-0.028459
76.2000,-0.035263
76.3000,-0.030422
76.4000,-0.014239
76.5000,-0.010761
76.6000,0.009561
76.7000,0.036341
76.8000,0.028193
76.9000,0.046524
77.0000,0.036867
77.1000,0.038668
77.2000,0.032987
77.3000,0.050748
77.4000,0.060424
77.5000,0.065593
77.6000,0.072120
77.7000,0.054272
77.8000,0.044499
77.9000,0.083208
78.0000,0.115772
78.1000,0.131395
78.2000,0.142298
78.3000,0.145400
78.4000,0.135265
78.5000,0.164521
78.6000,0.185167
78.7000,0.199354
78.8000,0.202513
78.9000,0.170483
79.0000,0.153759
79.1000,0.115222
79.2000,0.064779
79.3000,0.020477
79.4000,-0.016237
79.5000,-0.035545
79.6000,-0.050424
79.7000,-0.073637
79.8000,-0.068818
79.9000,-0.064348
80.0000,-0.047884
80.1000,-0.037520
80.2000,-0.004200
80.3000,0.026229
80.4000,0.047436
80.5000,0.070652
80.6000,0.097930
80.7000,0.094150
80.8000,0.087568
80.9000,0.078465
81.0000,0.061956
81.1000,0.044165
81.2000,0.014248
81.3000,-0.023866
81.4000,-0.040301
81.5000,-0.050746
81.6000,-0.045197
81.7000,-0.050217
81.8000,-0.051279
81.9000,-0.040377
82.0000,-0.032322
82.1000,-0.023543
82.2000,-0.001303
82.3000,0.017202
82.4000,0.023188
82.5000,0.033448
82.6000,0.036614
82.7000,0.036608
82.8000,0.034526
82.9000,0.020311
83.0000,0.021602
83.1000,0.014876
83.2000,0.009184
83.3000,0.000951
83.4000,-0.010454
83.5000,-0.017082
83.6000,-0.029096
83.7000,-0.023708
83.8000,-0.024438
83.9000,-0.019477
84.0000,-0.014611
84.1000,0.007471
84.2000,0.005321
84.3000,0.000022
84.4000,0.010971
84.5000,0.011515
84.6000,0.031225
84.7000,0.026716
84.8000,0.024277
84.9000,0.025894
85.0000,0.012249
85.1000,0.014025
85.2000,0.001979
85.3000,-0.012207
85.4000,-0.008009
85.5000,-0.020245
85.6000,-0.017248
85.7000,-0.030221
85.8000,-0.027618
85.9000,-0.020057
86.0000,-0.009367
86.1000,-0.008046
86.2000,-0.001093
86.3000,0.010548
86.4000,0.016787
86.5000,0.017364
86.6000,0.014267
86.7000,0.026566
86.8000,0.016831
86.9000,0.010234
87.0000,0.011286
87.1000,0.010715
87.2000,-0.003492
87.3000,-0.000493
87.4000,0.001918
87.5000,-0.012015
87.6000,-0.015153
87.7000,-0.024758
87.8000,-0.024670
87.9000,-0.023031
88.0000,-0.010930
88.1000,-0.021527
88.2000,-0.011699
88.3000,-0.014003
88.4000,-0.007908
88.5000,-0.003694
88.6000,-0.011715
88.7000,0.012944
88.8000,0.009908
88.9000,0.006682
89.0000,-0.000810
89.1000,0.000041
89.2000,0.001651
89.3000,-0.009299
89.4000,0.000186
89.5000,-0.003103
89.6000,0.006185
89.7000,0.002171
89.8000,0.005881
89.9000,-0.002568
90.0000,0.000107
90.1000,0.001082
90.2000,-0.010707
90.3000,-0.003280
90.4000,0.004751
90.5000,0.001991
90.6000,0.004994
90.7000,0.013550
90.8000,0.018627
90.9000,0.017228
91.0000,0.008335
91.1000,0.001026
91.2000,-0.006521
91.3000,-0.008251
91.4000,-0.019398
91.5000,-0.023899
91.6000,-0.026455
91.7000,-0.012400
91.8000,-0.020837
91.9000,-0.008130
92.0000,0.007069
92.1000,0.009383
92.2000,0.018247
92.3000,0.036351
92.4000,0.029096
92.5000,0.021189
92.6000,0.013377
92.7000,-0.001435
92.8000,-0.015439
92.9000,-0.018831
93.0000,-0.026026
93.1000,-0.024951
93.2000,-0.022962
93.3000,-0.030292
93.4000,-0.014003
93.5000,-0.011757
93.6000,-0.012869
93.7000,-0.003059
93.8000,-0.010805
93.9000,-0.007696
94.0000,-0.002615
94.1000,-0.001395
94.2000,-0.004615
94.3000,-0.002932
94.4000,0.006799
94.5000,0.018519
94.6000,0.015966
94.7000,-0.003711
94.8000,-0.037710
94.9000,-0.054367
95.0000,-0.048121
95.1000,-0.059025
95.2000,-0.062693
95.3000,-0.077867
95.4000,-0.121247
95.5000,-0.137082
95.6000,-0.147858
95.7000,-0.154440
95.8000,-0.141595
95.9000,-0.146017
96.0000,-0.166865
96.1000,-0.189635
96.2000,-0.195301
96.3000,-0.192918
96.4000,-0.178298
96.5000,-0.143767
96.6000,-0.109163
96.7000,-0.051687
96.8000,-0.026569
96.9000,-0.008325
97.0000,0.022728
97.1000,0.031829
97.2000,0.028615
97.3000,0.047361
97.4000,0.043086
97.5000,0.037382
97.6000,0.003604
97.7000,-0.013999
97.8000,-0.027421
97.9000,-0.055668
98.0000,-0.071006
98.1000,-0.074942
98.2000,-0.078093
98.3000,-0.070337
98.4000,-0.051560
98.5000,-0.039945
98.6000,-0.014465
98.7000,-0.000617
98.8000,0.006105
98.9000,0.024074
99.0000,0.030059
99.1000,0.024728
99.2000,0.027515
99.3000,0.019447
99.4000,0.019195
99.5000,-0.000891
99.6000,-0.010096
99.7000,-0.005310
99.8000,-0.014841
99.9000,-0.018626
100.0000,-0.007485
100.1000,-0.014107
100.2000,-0.016269
100.3000,-0.016077
