time,xte
39.5000,0.109110
39.6000,0.102240
39.7000,0.089710
39.8000,0.092425
39.9000,0.072926
40.0000,0.073894
40.1000,0.051591
40.2000,0.043135
40.3000,0.050766
40.4000,0.044127
40.5000,0.040288
40.6000,0.039362
40.7000,0.029795
40.8000,0.017682
40.9000,0.000909
41.0000,-0.023155
41.1000,-0.045009
41.2000,-0.072034
41.3000,-0.089781
41.4000,-0.109442
41.5000,-0.148685
41.6000,-0.182444
41.7000,-0.207268
41.8000,-0.244285
41.9000,-0.290168
42.0000,-0.347357
42.1000,-0.359082
42.2000,-0.385858
42.3000,-0.371703
42.4000,-0.284689
42.5000,-0.190068
42.6000,-0.098901
42.7000,-0.022278
42.8000,0.061487
42.9000,0.144282
43.0000,0.222923
43.1000,0.296381
43.2000,0.375167
43.3000,0.454935
43.4000,0.529342
43.5000,0.610379
43.6000,0.699356
43.7000,0.766338
43.8000,0.846882
43.9000,0.930961
44.0000,0.994599
44.1000,1.067055
44.2000,1.126756
44.3000,1.178977
44.4000,1.244722
44.5000,1.290697
44.6000,1.354974
44.7000,1.402483
44.8000,1.451678
44.9000,1.495250
45.0000,1.552147
45.1000,1.572187
45.2000,1.619236
45.3000,1.641596
45.4000,1.678897
45.5000,1.695934
45.6000,1.721143
45.7000,1.726789
45.8000,1.735863
45.9000,1.734147
46.0000,1.728191
46.1000,1.728926
46.2000,1.717650
46.3000,1.705369
46.4000,1.704469
46.5000,1.687731
46.6000,1.661578
46.7000,1.642355
46.8000,1.610544
46.9000,1.582707
47.0000,1.555634
47.1000,1.517632
47.2000,1.486166
47.3000,1.444016
47.4000,1.404444
47.5000,1.367375
47.6000,1.332051
47.7000,1.286399
47.8000,1.250549
47.9000,1.193128
48.0000,1.157187
48.1000,1.113054
48.2000,1.059799
48.3000,1.028137
48.4000,0.972734
48.5000,0.918627
48.6000,0.870562
48.7000,0.820855
48.8000,0.777310
48.9000,0.735752
49.0000,0.690611
49.1000,0.646901
49.2000,0.597491
49.3000,0.553492
49.4000,0.528927
49.5000,0.471994
49.6000,0.429938
49.7000,0.387010
49.8000,0.363254
49.9000,0.319547
50.0000,0.282341
50.1000,0.259709
50.2000,0.210371
50.3000,0.184513
50.4000,0.157547
50.5000,0.126679
50.6000,0.078613
50.7000,0.064469
50.8000,0.034831
50.9000,-0.005066
51.0000,-0.023620
51.1000,-0.043497
51.2000,-0.068653
51.3000,-0.087333
51.4000,-0.103823
51.5000,-0.125944
51.6000,-0.144725
51.7000,-0.155261
51.8000,-0.174720
51.9000,-0.184712
52.0000,-0.191706
52.1000,-0.201152
52.2000,-0.205582
52.3000,-0.208601
52.4000,-0.212809
52.5000,-0.206602
52.6000,-0.213097
52.7000,-0.219037
52.8000,-0.216665
52.9000,-0.207176
53.0000,-0.202037
53.1000,-0.204238
53.2000,-0.208996
53.3000,-0.193983
53.4000,-0.190779
53.5000,-0.179481
53.6000,-0.175178
53.7000,-0.166287
53.8000,-0.162869
53.9000,-0.163362
54.0000,-0.158771
54.1000,-0.151071
54.2000,-0.129303
54.3000,-0.127260
54.4000,-0.111731
54.5000,-0.105969
54.6000,-0.108159
54.7000,-0.085983
54.8000,-0.082998
54.9000,-0.066575
55.0000,-0.065893
55.1000,-0.056675
55.2000,-0.056973
55.3000,-0.038920
55.4000,-0.026501
55.5000,-0.016643
55.6000,-0.017409
55.7000,-0.003741
55.8000,0.004675
